model_name	psq_distance	psq_distance_metric	psq_distance_sample_size	highdim_size	lowdim_size
models/raw/lda_umap-v01.tsv.gz	0.06961622113793396	cosine	1.0	300	5
models/raw/lda_umap-v02.tsv.gz	0.0703375712020195	cosine	1.0	100	5
models/raw/lda_umap-v03.tsv.gz	0.050005431631419274	cosine	1.0	60	5
models/raw/lda_umap-v04.tsv.gz	0.07080185018861251	cosine	1.0	50	5
models/raw/sbert_id-v01.tsv.gz	0.9217016932254265	cosine	1.0	512	512
models/raw/sbert_id-v02.tsv.gz	0.9076696249735048	cosine	1.0	512	512
models/raw/sbert_id-v03.tsv.gz	0.8920271992315658	cosine	1.0	384	384
models/raw/sbert_id-v04.tsv.gz	0.8722713533111519	cosine	1.0	768	768
models/raw/sbert_umap-v01.tsv.gz	0.765109138747421	cosine	1.0	512	5
models/raw/sbert_umap-v01_altmindist.tsv.gz	0.7215051610637988	cosine	1.0	512	5
models/raw/sbert_umap-v02.tsv.gz	0.6780876045314113	cosine	1.0	512	5
models/raw/sbert_umap-v02_altmindist.tsv.gz	0.6859083834289751	cosine	1.0	512	5
models/raw/sbert_umap-v03.tsv.gz	0.6755142092154043	cosine	1.0	384	5
models/raw/sbert_umap-v03_altmindist.tsv.gz	0.7198654838872115	cosine	1.0	384	5
models/raw/sbert_umap-v04.tsv.gz	0.6684872794623417	cosine	1.0	768	5
models/raw/sbert_umap-v04_altmindist.tsv.gz	0.6776542123032643	cosine	1.0	768	5
models/raw/tfidf_id-v01.tsv.gz	nan	cosine	1.0	275	275
models/raw/tfidf_id-v02.tsv.gz	0.7806443255377434	cosine	1.0	47902	47902
models/raw/tfidf_id-v03.tsv.gz	0.8090461987645154	cosine	1.0	47779	47779
models/raw/tfidf_umap-v01.tsv.gz	0.1183594661603309	cosine	1.0	275	5
models/raw/tfidf_umap-v02.tsv.gz	0.03245360200136433	cosine	1.0	47902	5
models/raw/tfidf_umap-v03.tsv.gz	0.01149081036779095	cosine	1.0	47779	5
models/raw/tfidf_umap-v04.tsv.gz	0.008916981256358833	cosine	1.0	47779	50
models/raw/tfidf_umap-v05.tsv.gz	0.010827416436124126	cosine	1.0	47779	100
models/raw/tfidf_umap-v06.tsv.gz	0.011021604839175319	cosine	1.0	47779	10
models/raw/tfidf_umap-v07.tsv.gz	0.011798915222478687	cosine	1.0	47779	20
models/schöch/050tp-6000it-0050in.tsv.gz	0.36562162700226436	cosine	1.0	50	50
models/schöch/050tp-6000it-0100in.tsv.gz	0.3783300147753339	cosine	1.0	50	50
models/schöch/050tp-6000it-0300in.tsv.gz	0.3792192010722556	cosine	1.0	50	50
models/schöch/050tp-6000it-0500in.tsv.gz	0.38765862815789603	cosine	1.0	50	50
models/schöch/050tp-6000it-1000in.tsv.gz	0.3893019517845974	cosine	1.0	50	50
models/schöch/050tp-6000it-2000in.tsv.gz	0.3906584714522039	cosine	1.0	50	50
models/schöch/050tp-6000it-3000in.tsv.gz	0.39977150177032933	cosine	1.0	50	50
models/schöch/050tp-6000it-7000in.tsv.gz	0.40883501875407824	cosine	1.0	50	50
models/schöch/060tp-6000it-0050in.tsv.gz	0.384796771436233	cosine	1.0	60	60
models/schöch/060tp-6000it-0100in.tsv.gz	0.3813731140788887	cosine	1.0	60	60
models/schöch/060tp-6000it-0300in.tsv.gz	0.3933995764437571	cosine	1.0	60	60
models/schöch/060tp-6000it-0500in.tsv.gz	0.3961861168180658	cosine	1.0	60	60
models/schöch/060tp-6000it-1000in.tsv.gz	0.4155682720029786	cosine	1.0	60	60
models/schöch/060tp-6000it-2000in.tsv.gz	0.40832517716539746	cosine	1.0	60	60
models/schöch/060tp-6000it-3000in.tsv.gz	0.4131971369350703	cosine	1.0	60	60
models/schöch/060tp-6000it-7000in.tsv.gz	0.41983781729616826	cosine	1.0	60	60
