run	model_name	SVM	KNN	TRE	SGD	average
01	models/schöch-agg/mean/070tp-6000it-0300in.tsv.gz	0.857	0.816	0.808	0.867	0.837
01	models/schöch-agg/mean/070tp-6000it-0500in.tsv.gz	0.862	0.834	0.803	0.864	0.841
01	models/schöch-agg/mean/070tp-6000it-1000in.tsv.gz	0.867	0.839	0.818	0.875	0.850
01	models/schöch-agg/mean/070tp-6000it-2000in.tsv.gz	0.847	0.824	0.818	0.862	0.838
01	models/schöch-agg/mean/070tp-6000it-3000in.tsv.gz	0.844	0.847	0.803	0.852	0.836
01	models/schöch-agg/mean/070tp-6000it-7000in.tsv.gz	0.836	0.828	0.795	0.847	0.827
01	models/schöch-agg/mean/080tp-6000it-0050in.tsv.gz	0.857	0.821	0.834	0.869	0.845
01	models/schöch-agg/mean/080tp-6000it-0100in.tsv.gz	0.847	0.839	0.795	0.857	0.834
01	models/schöch-agg/mean/080tp-6000it-0300in.tsv.gz	0.839	0.836	0.785	0.859	0.830
01	models/schöch-agg/mean/080tp-6000it-0500in.tsv.gz	0.864	0.836	0.783	0.859	0.836
01	models/schöch-agg/mean/080tp-6000it-1000in.tsv.gz	0.867	0.836	0.795	0.857	0.839
01	models/schöch-agg/mean/080tp-6000it-2000in.tsv.gz	0.842	0.834	0.819	0.862	0.839
01	models/schöch-agg/mean/080tp-6000it-3000in.tsv.gz	0.844	0.849	0.785	0.864	0.836
01	models/schöch-agg/mean/080tp-6000it-7000in.tsv.gz	0.839	0.834	0.801	0.872	0.836
01	models/schöch-agg/mean/090tp-6000it-0050in.tsv.gz	0.852	0.803	0.819	0.857	0.833
01	models/schöch-agg/mean/090tp-6000it-0100in.tsv.gz	0.844	0.829	0.760	0.859	0.823
01	models/schöch-agg/mean/090tp-6000it-0300in.tsv.gz	0.836	0.818	0.770	0.862	0.822
01	models/schöch-agg/mean/090tp-6000it-0500in.tsv.gz	0.852	0.826	0.808	0.865	0.838
01	models/schöch-agg/mean/090tp-6000it-1000in.tsv.gz	0.857	0.841	0.803	0.875	0.844
01	models/schöch-agg/mean/090tp-6000it-2000in.tsv.gz	0.852	0.849	0.798	0.882	0.845
01	models/schöch-agg/mean/090tp-6000it-3000in.tsv.gz	0.842	0.816	0.790	0.859	0.827
01	models/schöch-agg/mean/090tp-6000it-7000in.tsv.gz	0.849	0.836	0.796	0.862	0.836
01	models/schöch-agg/mean/100tp-6000it-0050in.tsv.gz	0.842	0.828	0.816	0.862	0.837
01	models/schöch-agg/mean/100tp-6000it-0100in.tsv.gz	0.842	0.829	0.834	0.857	0.840
01	models/schöch-agg/mean/100tp-6000it-0300in.tsv.gz	0.842	0.841	0.770	0.867	0.830
01	models/schöch-agg/mean/100tp-6000it-0500in.tsv.gz	0.842	0.834	0.813	0.867	0.839
01	models/schöch-agg/mean/100tp-6000it-1000in.tsv.gz	0.842	0.831	0.785	0.864	0.831
01	models/schöch-agg/mean/100tp-6000it-2000in.tsv.gz	0.857	0.846	0.793	0.859	0.839
01	models/schöch-agg/mean/100tp-6000it-3000in.tsv.gz	0.839	0.854	0.811	0.862	0.841
01	models/schöch-agg/mean/100tp-6000it-7000in.tsv.gz	0.854	0.849	0.759	0.859	0.831
01	models/schöch-agg/mean_shift_median/050tp-6000it-0050in.tsv.gz	0.862	0.831	0.798	0.867	0.840
01	models/schöch-agg/mean_shift_median/050tp-6000it-0100in.tsv.gz	0.859	0.834	0.806	0.857	0.839
01	models/schöch-agg/mean_shift_median/050tp-6000it-0300in.tsv.gz	0.857	0.841	0.778	0.859	0.834
01	models/schöch-agg/mean_shift_median/050tp-6000it-0500in.tsv.gz	0.867	0.826	0.829	0.857	0.845
01	models/schöch-agg/mean_shift_median/050tp-6000it-1000in.tsv.gz	0.852	0.826	0.808	0.872	0.840
01	models/schöch-agg/mean_shift_median/050tp-6000it-2000in.tsv.gz	0.854	0.811	0.801	0.859	0.831
01	models/schöch-agg/mean_shift_median/050tp-6000it-3000in.tsv.gz	0.839	0.831	0.778	0.834	0.820
01	models/schöch-agg/mean_shift_median/050tp-6000it-7000in.tsv.gz	0.841	0.831	0.816	0.865	0.838
01	models/schöch-agg/mean_shift_median/060tp-6000it-0050in.tsv.gz	0.869	0.816	0.824	0.867	0.844
01	models/schöch-agg/mean_shift_median/060tp-6000it-0100in.tsv.gz	0.857	0.816	0.816	0.870	0.840
01	models/schöch-agg/mean_shift_median/060tp-6000it-0300in.tsv.gz	0.864	0.839	0.803	0.877	0.846
01	models/schöch-agg/mean_shift_median/060tp-6000it-0500in.tsv.gz	0.857	0.831	0.811	0.865	0.841
01	models/schöch-agg/mean_shift_median/060tp-6000it-1000in.tsv.gz	0.854	0.854	0.775	0.854	0.834
01	models/schöch-agg/mean_shift_median/060tp-6000it-2000in.tsv.gz	0.854	0.826	0.816	0.852	0.837
